Name           :	.2mgmlPOPG_O1	
User           :	Isaac	
Date           :	7/29/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	POPG	
MW             :	771.0	
Concentration  :	0.200	
Unit           :	mg/ml           	
Volume         :	0.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
246.15	29.513	6.442	40.84		10.185	10.244	-198.84		-1.22	0.000
246.43	29.546	7.055	40.80		10.189	10.249	-95.75		-1.22	0.000
246.70	29.585	7.644	40.77		10.190	10.251	-46.46		-1.22	0.000
246.97	29.624	8.221	40.73		10.193	10.254	18.75		-1.22	0.000
247.25	29.651	8.762	40.70		10.202	10.256	35.30		-1.22	0.000
247.52	29.696	9.279	40.65		10.217	10.261	43.98		-1.22	0.000
247.79	29.745	9.772	40.61		10.235	10.271	51.28		-1.22	0.000
248.07	29.780	10.228	40.57		10.250	10.284	87.04		-1.22	0.000
248.34	29.831	10.673	40.52		10.269	10.299	87.59		-1.22	0.000
248.62	29.885	11.094	40.47		10.291	10.314	62.44		-1.22	0.000
248.89	29.941	11.478	40.41		10.313	10.335	39.19		-1.22	0.000
249.16	29.981	11.827	40.37		10.336	10.355	6.85		-1.22	0.000
249.43	30.041	12.151	40.31		10.363	10.381	-0.35		-1.22	0.000
249.71	30.103	12.428	40.25		10.388	10.405	20.96		-1.22	0.000
249.97	30.144	12.680	40.21		10.413	10.418	48.23		-1.22	0.000
250.24	30.209	12.909	40.14		10.438	10.443	65.82		-1.22	0.000
250.52	30.274	13.089	40.08		10.462	10.468	58.94		-1.22	0.000
250.79	30.318	13.245	40.03		10.486	10.493	6.20		-1.22	0.000
251.06	30.383	13.365	39.97		10.509	10.518	-30.13		-1.22	0.000
251.34	30.450	13.450	39.90		10.535	10.544	-54.72		-1.22	0.000
251.61	30.518	13.498	39.83		10.530	10.571	-56.32		-1.22	0.000
251.89	30.563	13.510	39.79		10.554	10.592	-49.35		-1.22	0.000
252.16	30.631	13.486	39.72		10.581	10.617	-55.87		-1.22	0.000
252.43	30.697	13.425	39.65		10.608	10.631	-96.95		-1.22	0.000
252.71	30.764	13.329	39.59		10.634	10.658	-131.38		-1.22	0.000
252.98	30.810	13.197	39.54		10.667	10.685	-217.39		-1.22	0.000
253.26	30.874	13.029	39.48		10.707	10.711	-279.26		-1.22	0.000
253.54	30.939	12.825	39.41		10.746	10.743	-301.74		-1.22	0.000
253.82	31.001	12.584	39.35		10.786	10.783	-327.87		-1.22	0.000
254.09	31.044	12.308	39.31		10.824	10.823	-334.92		-1.22	0.000
254.36	31.105	12.007	39.24		10.858	10.860	-339.61		-1.22	0.000
254.65	31.163	11.671	39.19		10.884	10.896	-346.13		-1.22	0.000
254.93	31.221	11.298	39.13		10.915	10.930	-365.68		-1.22	0.000
255.21	31.258	10.889	39.09		10.946	10.964	-373.91		-1.22	0.000
255.49	31.312	10.445	39.04		10.979	11.000	-354.57		-1.22	0.000
255.76	31.362	9.988	38.99		11.005	11.030	-332.87		-1.22	0.000
256.05	31.412	9.483	38.94		11.030	11.059	-271.85		-1.22	0.000
256.32	31.442	8.978	38.91		11.055	11.087	-245.50		-1.22	0.000
256.60	31.485	8.438	38.87		11.073	11.114	-183.98		-1.22	0.000
256.88	31.526	7.873	38.82		11.094	11.125	-129.89		-1.22	0.000
257.16	31.564	7.284	38.79		11.115	11.147	-105.82		-1.22	0.000
257.44	31.597	6.671	38.75		11.132	11.171	-64.17		-1.22	0.000
257.71	31.619	6.046	38.73		11.150	11.190	-56.34		-1.22	0.000
257.98	31.646	5.409	38.70		11.164	11.212	-41.28		-1.22	0.000
258.26	31.671	4.772	38.68		11.188	11.230	-28.59		-1.22	0.000
258.52	31.683	4.111	38.67		11.200	11.245	6.58		-1.22	0.000
258.80	31.701	3.438	38.65		11.207	11.256	27.59		-1.22	0.000
259.06	31.719	2.776	38.63		11.215	11.268	57.31		-1.22	0.000
