 flux tru 2x1 mm ap., at 28m, k=2 
 ________________________________ 
                                  
          energy              flux
        22.69407      5.627863E+12
        22.73826      4.982481E+12
        22.78245      4.699833E+12
        22.82665      5.028588E+12
        22.87084      5.379574E+12
        22.91504      5.495646E+12
        22.95923      5.647774E+12
        23.01448      6.245843E+12
        23.05867      6.939061E+12
        23.11391      7.840826E+12
        23.15811      8.697697E+12
        23.21335      1.006116E+13
        23.26860      1.156403E+13
        23.31279      1.290052E+13
        23.36804      1.491069E+13
        23.42328      1.702509E+13
        23.47852      1.928175E+13
        23.53377      2.169655E+13
        23.58901      2.425467E+13
        23.64425      2.703014E+13
        23.69950      2.949098E+13
        23.75474      3.205713E+13
        23.80998      3.476086E+13
        23.86523      3.735068E+13
        23.92047      3.943087E+13
        23.97572      4.124741E+13
        24.03096      4.281772E+13
        24.08620      4.383643E+13
        24.14145      4.421207E+13
        24.19669      4.438971E+13
        24.25193      4.391228E+13
        24.30718      4.284312E+13
        24.36242      4.131276E+13
        24.41766      3.958356E+13
        24.46186      3.795998E+13
        24.51710      3.565034E+13
        24.57235      3.371165E+13
        24.61654      3.235604E+13
        24.67179      3.144553E+13
        24.71598      3.132718E+13
        24.77122      3.263571E+13
        24.81542      3.475118E+13
        24.85961      3.828993E+13
        24.90381      4.369190E+13
        24.94800      5.069829E+13
        24.99220      5.918452E+13
        25.03639      6.865879E+13
        25.08059      7.983885E+13
        25.12478      9.210200E+13
        25.15793      1.011832E+14
        25.19107      1.101099E+14
        25.23527      1.177660E+14
        25.26842      1.202481E+14
        25.30156      1.195148E+14
        25.32366      1.154161E+14
        25.35681      1.049612E+14
        25.37890      9.298764E+13
        25.41205      6.531979E+13
        25.43415      4.371386E+13
        25.45624      2.361244E+13
        25.47834      1.115485E+13
        25.50044      7.756148E+12
        25.53358      9.199198E+12
        25.55568      7.580868E+12
        25.58883      8.189409E+12
        25.61092      9.041098E+12
        25.64407      9.911130E+12
        25.67722      1.193054E+13
        25.72141      1.131446E+13
        25.75456      1.052359E+13
        25.78771      1.105077E+13
        25.83190      1.321760E+13
        25.87609      1.484696E+13
        25.92029      1.530422E+13
        25.96449      1.596228E+13
        26.00868      1.707692E+13
        26.05287      1.802131E+13
        26.09707      1.922385E+13
        26.14126      2.036913E+13
        26.19651      2.114412E+13
        26.24070      2.187005E+13
        26.29595      2.322805E+13
        26.34014      2.363020E+13
        26.39539      2.391720E+13
        26.45063      2.483172E+13
        26.49482      2.494857E+13
        26.55007      2.459183E+13
        26.60531      2.468498E+13
        26.66055      2.427966E+13
        26.71580      2.350202E+13
        26.77104      2.285132E+13
        26.82628      2.279888E+13
        26.88153      2.168643E+13
        26.93677      2.068163E+13
        26.99202      1.954838E+13
        27.04726      1.849154E+13
        27.10250      1.765740E+13
        27.15775      1.696861E+13
        27.21299      1.665372E+13
        27.26823      1.683674E+13
        27.32348      1.749906E+13
        27.37872      1.880160E+13
        27.43396      2.077532E+13
        27.48921      2.354246E+13
        27.54445      2.717773E+13
        27.59969      3.157524E+13
        27.64389      3.565365E+13
        27.69913      4.138011E+13
        27.75438      4.763773E+13
        27.79857      5.300119E+13
        27.85382      5.967094E+13
        27.89801      6.490990E+13
        27.95325      7.106985E+13
        27.99745      7.502152E+13
        28.04164      7.847486E+13
        28.08584      8.015645E+13
        28.13003      8.157391E+13
        28.17423      7.999158E+13
        28.21842      7.821563E+13
        28.26262      7.360981E+13
        28.30681      6.963994E+13
        28.33996      6.648026E+13
        28.37311      6.200762E+13
        28.41730      5.642675E+13
        28.45045      5.560161E+13
        28.48359      6.002307E+13
        28.50569      6.577925E+13
        28.53884      8.228346E+13
        28.56093      9.661220E+13
        28.59408      1.125368E+14
        28.61618      1.178818E+14
        28.63827      8.135403E+13
        28.66037      3.283887E+13
        28.68247      1.883611E+13
        28.71561      1.876553E+13
        28.73771      2.227594E+13
        28.77086      2.079176E+13
        28.79296      1.669352E+13
        28.82610      1.285242E+13
        28.85925      1.282302E+13
        28.90344      1.592019E+13
        28.93659      1.759188E+13
        28.96974      1.643153E+13
        29.01393      1.420839E+13
        29.05813      1.359426E+13
        29.10232      1.435221E+13
        29.14651      1.379313E+13
        29.19071      1.315909E+13
        29.23491      1.252765E+13
        29.27910      1.192870E+13
        29.32329      1.128058E+13
        29.37854      1.081390E+13
        29.42273      1.042965E+13
        29.47798      9.569577E+12
        29.52217      9.184499E+12
        29.57742      9.043361E+12
        29.63266      8.880632E+12
        29.67686      8.840699E+12
        29.73210      9.138560E+12
        29.78734      1.056565E+13
        29.84258      1.142713E+13
        29.89783      1.258039E+13
        29.95307      1.407059E+13
        30.00831      1.593897E+13
        30.06356      1.817661E+13
        30.11880      2.070357E+13
        30.17405      2.344554E+13
        30.22929      2.639482E+13
        30.28453      2.961479E+13
        30.33978      3.303087E+13
        30.39502      3.632705E+13
        30.45026      3.945099E+13
        30.50551      4.249940E+13
        30.56075      4.540289E+13
        30.61599      4.786375E+13
        30.67124      4.959455E+13
        30.72648      5.080985E+13
        30.78172      5.156813E+13
        30.82592      5.175534E+13
        30.88116      5.106267E+13
        30.93641      4.967914E+13
        30.98060      4.834238E+13
        31.03585      4.652923E+13
        31.08004      4.490943E+13
        31.13528      4.298990E+13
        31.17948      4.209156E+13
        31.22367      4.168619E+13
        31.26787      4.222927E+13
        31.31206      4.377391E+13
        31.35626      4.788543E+13
        31.40045      5.372225E+13
        31.44465      6.039323E+13
        31.48884      6.763071E+13
        31.52199      7.388924E+13
        31.55514      8.225284E+13
        31.59933      9.303059E+13
        31.63248      9.966597E+13
        31.66562      1.002580E+14
        31.68772      9.742693E+13
        31.72087      8.989029E+13
        31.74296      8.039337E+13
        31.77611      5.906138E+13
        31.79821      3.889677E+13
        31.82030      2.105176E+13
        31.84240      1.316275E+13
        31.86450      1.167629E+13
        31.89764      6.934131E+12
        31.91974      5.839493E+12
        31.95289      5.778467E+12
        31.97499      5.759804E+12
        32.00813      6.129794E+12
        32.04128      6.584564E+12
