Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
66.550000	66.270543	6.839034	700.007172	700.007172	2.404699	5.214138	0.000000		0.000000	12799.679664
67.100000	66.236466	6.835517	700.007172	700.007172	2.425020	5.228979	0.000000		0.000000	12799.679664
67.650000	66.202390	6.832001	700.007172	700.007172	2.441955	5.248767	0.000000		0.000000	12799.679664
68.200000	66.111519	6.822623	699.835049	699.835049	2.458889	5.268555	0.000000		0.000000	12799.679664
68.760000	66.034847	6.814710	700.007172	700.007172	2.472437	5.288343	0.000000		0.000000	12799.679664
69.310000	65.952496	6.806212	700.007172	700.007172	2.496145	5.318025	0.000000		0.000000	12799.679664
69.860000	65.861625	6.796834	700.007172	700.007172	2.513080	5.332866	0.000000		0.000000	12799.679664
70.420000	65.799152	6.790387	700.007172	700.007172	2.530014	5.347707	0.000000		0.000000	12799.679664
70.970000	65.756556	6.785991	699.835049	699.835049	2.543562	5.372442	0.000000		0.000000	12799.679664
71.530000	65.688403	6.778958	699.835049	699.835049	2.563883	5.397177	0.000000		0.000000	12799.679664
72.090000	65.625930	6.772511	699.835049	699.835049	2.580818	5.416965	0.000000		0.000000	12799.679664
72.640000	65.586174	6.768408	699.835049	699.835049	2.597752	5.426859	0.000000		0.000000	12799.679664
73.190000	65.529379	6.762547	700.007172	700.007172	2.618074	5.456541	0.000000		0.000000	12799.679664
73.750000	65.464066	6.755807	700.007172	700.007172	2.641782	5.471382	0.000000		0.000000	12799.679664
74.310000	65.432829	6.752583	700.007172	700.007172	2.655330	5.481276	0.000000		0.000000	12799.679664
74.870000	65.356157	6.744670	699.835049	699.835049	2.672264	5.496117	0.000000		0.000000	12799.679664
75.430000	65.231210	6.731776	700.007172	700.007172	2.689199	5.520852	0.000000		0.000000	12799.679664
76.000000	65.165897	6.725036	700.007172	700.007172	2.709520	5.540640	0.000000		0.000000	12799.679664
76.560000	65.117622	6.720054	700.179295	700.179295	2.723068	5.560428	0.000000		0.000000	12800.174586
77.110000	65.086385	6.716830	700.007172	700.007172	2.743389	5.580216	0.000000		0.000000	12799.679664
77.670000	65.057988	6.713900	699.835049	699.835049	2.760324	5.595057	0.000000		0.000000	12799.679664
78.220000	64.975637	6.705401	699.835049	699.835049	2.773871	5.614845	0.000000		0.000000	12799.679664
78.780000	64.862048	6.693679	699.835049	699.835049	2.787419	5.634633	0.000000		0.000000	12799.679664
79.330000	64.808094	6.688111	699.835049	699.835049	2.807740	5.654421	0.000000		0.000000	12799.679664
79.900000	64.745621	6.681664	699.835049	699.835049	2.828062	5.674209	0.000000		0.000000	12799.679664
80.460000	64.683147	6.675217	700.007172	700.007172	2.838222	5.689050	0.000000		0.000000	12799.679664
81.020000	64.632032	6.669942	699.835049	699.835049	2.858544	5.713785	0.000000		0.000000	12799.679664
81.580000	64.578078	6.664374	699.835049	699.835049	2.875478	5.728626	0.000000		0.000000	12799.679664
82.150000	64.495726	6.655875	699.662925	699.662925	2.892413	5.758308	0.000000		0.000000	12799.679664
82.710000	64.464490	6.652652	699.835049	699.835049	2.909347	5.763255	0.000000		0.000000	12799.184742
83.270000	64.441772	6.650307	700.007172	700.007172	2.926282	5.792937	0.000000		0.000000	12799.679664
83.830000	64.430413	6.649135	699.835049	699.835049	2.953377	5.807778	0.000000		0.000000	12799.679664
84.400000	64.342382	6.640050	699.835049	699.835049	2.973698	5.827566	0.000000		0.000000	12799.679664
84.960000	64.308306	6.636534	699.835049	699.835049	2.983859	5.842407	0.000000		0.000000	12799.679664
85.520000	64.206076	6.625984	699.835049	699.835049	3.000793	5.862195	0.000000		0.000000	12799.679664
86.080000	64.049892	6.609866	699.835049	699.835049	3.027889	5.886930	0.000000		0.000000	12799.679664
86.650000	63.978900	6.602539	699.835049	699.835049	3.051597	5.916612	0.000000		0.000000	12799.679664
87.210000	63.933464	6.597850	699.835049	699.835049	3.061758	5.926506	0.000000		0.000000	12799.184742
87.770000	63.873831	6.591696	700.007172	700.007172	3.082079	5.946294	0.000000		0.000000	12799.679664
88.330000	63.785800	6.582612	700.007172	700.007172	3.105787	5.966082	0.000000		0.000000	12799.679664
88.890000	63.746044	6.578509	699.835049	699.835049	3.122722	5.985870	0.000000		0.000000	12799.679664
89.440000	63.686410	6.572355	699.835049	699.835049	3.139656	6.000711	0.000000		0.000000	12799.679664
89.990000	63.632456	6.566787	699.835049	699.835049	3.159978	6.025446	0.000000		0.000000	12799.679664
90.540000	63.587020	6.562098	699.835049	699.835049	3.173525	6.045234	0.000000		0.000000	12799.679664
91.100000	63.513188	6.554478	699.835049	699.835049	3.190460	6.065022	0.000000		0.000000	12799.679664
91.650000	63.442195	6.547152	699.835049	699.835049	3.204007	6.084810	0.000000		0.000000	12799.184742
92.210000	63.351325	6.537774	699.835049	699.835049	3.227716	6.104598	0.000000		0.000000	12799.679664
92.760000	63.317248	6.534258	699.835049	699.835049	3.241263	6.119439	0.000000		0.000000	12799.679664
93.310000	63.240576	6.526345	699.835049	699.835049	3.264972	6.134280	0.000000		0.000000	12799.679664
93.870000	63.197980	6.521949	699.835049	699.835049	3.285293	6.163962	0.000000		0.000000	12799.679664
94.420000	63.152545	6.517261	699.835049	699.835049	3.292067	6.173856	0.000000		0.000000	12799.679664
94.970000	63.078713	6.509641	700.007172	700.007172	3.312388	6.193644	0.000000		0.000000	12799.679664
95.530000	63.041797	6.505831	699.835049	699.835049	3.336097	6.228273	0.000000		0.000000	12800.174586
96.090000	62.982163	6.499677	699.835049	699.835049	3.346257	6.243114	0.000000		0.000000	12799.679664
96.640000	62.936727	6.494988	699.835049	699.835049	3.366579	6.262902	0.000000		0.000000	12799.679664
97.190000	62.825979	6.483559	699.835049	699.835049	3.386900	6.282690	0.000000		0.000000	12799.679664
97.740000	62.769185	6.477698	699.835049	699.835049	3.400448	6.302478	0.000000		0.000000	12799.679664
98.300000	62.683994	6.468907	699.662925	699.662925	3.427543	6.317319	0.000000		0.000000	12799.679664
98.860000	62.632879	6.463632	699.835049	699.835049	3.441090	6.342054	0.000000		0.000000	12799.184742
99.420000	62.576085	6.457771	699.835049	699.835049	3.461412	6.361842	0.000000		0.000000	12799.184742
99.970000	62.530649	6.453082	699.662925	699.662925	3.474959	6.376683	0.000000		0.000000	12799.679664
100.530000	62.485214	6.448393	699.835049	699.835049	3.502055	6.401418	0.000000		0.000000	12799.679664
101.090000	62.405702	6.440187	699.835049	699.835049	3.512215	6.406365	0.000000		0.000000	12799.679664
101.640000	62.340389	6.433447	699.662925	699.662925	3.535924	6.431100	0.000000		0.000000	12799.679664
102.190000	62.240999	6.423190	699.662925	699.662925	3.549471	6.460782	0.000000		0.000000	12799.679664
102.740000	62.184205	6.417329	699.835049	699.835049	3.566406	6.475623	0.000000		0.000000	12799.679664
103.300000	62.099014	6.408538	699.662925	699.662925	3.586727	6.490464	0.000000		0.000000	12799.679664
103.850000	62.045060	6.402969	699.662925	699.662925	3.603662	6.515199	0.000000		0.000000	12799.679664
104.400000	61.962708	6.394471	699.662925	699.662925	3.623983	6.530040	0.000000		0.000000	12799.184742
104.950000	61.931471	6.391247	699.662925	699.662925	3.647691	6.549828	0.000000		0.000000	12799.184742
105.500000	61.894555	6.387438	699.835049	699.835049	3.664626	6.559722	0.000000		0.000000	12799.679664
106.050000	61.798005	6.377474	699.662925	699.662925	3.684947	6.584457	0.000000		0.000000	12799.679664
106.600000	61.746890	6.372199	699.662925	699.662925	3.701882	6.614139	0.000000		0.000000	12799.679664
107.150000	61.690096	6.366338	699.662925	699.662925	3.722203	6.633927	0.000000		0.000000	12799.679664
107.700000	61.650340	6.362235	699.662925	699.662925	3.735751	6.643821	0.000000		0.000000	12799.679664
108.260000	61.613424	6.358425	699.662925	699.662925	3.756072	6.663609	0.000000		0.000000	12799.184742
108.820000	61.570829	6.354029	699.835049	699.835049	3.773007	6.678450	0.000000		0.000000	12799.679664
109.380000	61.485637	6.345238	699.662925	699.662925	3.796715	6.698238	0.000000		0.000000	12799.679664
109.940000	61.434523	6.339963	699.662925	699.662925	3.813649	6.722973	0.000000		0.000000	12799.679664
110.500000	61.363530	6.332637	699.662925	699.662925	3.830584	6.742761	0.000000		0.000000	12799.679664
111.050000	61.318095	6.327948	699.662925	699.662925	3.844132	6.752655	0.000000		0.000000	12799.679664
111.600000	61.224384	6.318277	699.662925	699.662925	3.864453	6.782337	0.000000		0.000000	12799.679664
112.150000	61.159071	6.311537	699.662925	699.662925	3.884774	6.802125	0.000000		0.000000	12799.679664
112.700000	61.088079	6.304210	699.835049	699.835049	3.894935	6.812019	0.000000		0.000000	12800.174586
113.250000	61.014246	6.296591	699.662925	699.662925	3.918643	6.831807	0.000000		0.000000	12799.679664
113.800000	60.963131	6.291316	699.835049	699.835049	3.942352	6.846648	0.000000		0.000000	12799.679664
114.350000	60.883620	6.283110	699.662925	699.662925	3.952512	6.866436	0.000000		0.000000	12799.679664
114.900000	60.826826	6.277249	699.835049	699.835049	3.972834	6.886224	0.000000		0.000000	12799.679664
115.460000	60.784230	6.272854	699.662925	699.662925	3.989768	6.906012	0.000000		0.000000	12799.679664
116.010000	60.721756	6.266406	699.662925	699.662925	4.003316	6.920853	0.000000		0.000000	12800.174586
116.560000	60.682000	6.262304	699.662925	699.662925	4.016863	6.940641	0.000000		0.000000	12800.174586
117.110000	60.633725	6.257322	699.662925	699.662925	4.037185	6.970323	0.000000		0.000000	12799.679664
117.670000	60.599649	6.253805	699.662925	699.662925	4.054119	6.980217	0.000000		0.000000	12799.679664
118.230000	60.494580	6.242962	699.662925	699.662925	4.074441	7.000005	0.000000		0.000000	12799.679664
118.790000	60.409389	6.234170	699.662925	699.662925	4.098149	7.019793	0.000000		0.000000	12800.174586
119.360000	60.344075	6.227430	699.662925	699.662925	4.111697	7.039581	0.000000		0.000000	12800.174586
119.920000	60.324197	6.225379	699.490802	699.490802	4.128631	7.054422	0.000000		0.000000	12799.679664
120.480000	60.284442	6.221276	699.490802	699.490802	4.148953	7.069263	0.000000		0.000000	12799.679664
121.040000	60.216289	6.214243	699.662925	699.662925	4.169274	7.093998	0.000000		0.000000	12799.679664
121.610000	60.133937	6.205744	699.835049	699.835049	4.186208	7.108839	0.000000		0.000000	12799.679664
122.170000	60.045906	6.196659	699.662925	699.662925	4.203143	7.123680	0.000000		0.000000	12799.679664
122.730000	59.966394	6.188454	699.662925	699.662925	4.226851	7.153362	0.000000		0.000000	12799.679664
123.290000	59.861325	6.177611	699.490802	699.490802	4.240399	7.163256	0.000000		0.000000	12800.174586
123.860000	59.821569	6.173508	699.835049	699.835049	4.257333	7.197885	0.000000		0.000000	12800.174586
124.420000	59.781814	6.169405	699.662925	699.662925	4.274268	7.217673	0.000000		0.000000	12799.679664
124.980000	59.696622	6.160614	699.662925	699.662925	4.294589	7.237461	0.000000		0.000000	12800.174586
125.540000	59.645508	6.155339	699.662925	699.662925	4.304750	7.247355	0.000000		0.000000	12799.679664
126.110000	59.625630	6.153287	699.835049	699.835049	4.331845	7.262196	0.000000		0.000000	12799.679664
126.670000	59.594393	6.150064	699.662925	699.662925	4.352167	7.281984	0.000000		0.000000	12799.679664
127.230000	59.517721	6.142151	699.490802	699.490802	4.369101	7.301772	0.000000		0.000000	12799.679664
127.790000	59.455247	6.135704	699.662925	699.662925	4.379262	7.316613	0.000000		0.000000	12799.679664
128.360000	59.441049	6.134239	699.835049	699.835049	4.399583	7.336401	0.000000		0.000000	12799.679664
128.920000	59.415491	6.131601	699.662925	699.662925	4.419905	7.356189	0.000000		0.000000	12800.174586
129.480000	59.361537	6.126033	699.662925	699.662925	4.436839	7.375977	0.000000		0.000000	12799.679664
130.040000	59.284865	6.118121	699.835049	699.835049	4.450387	7.385871	0.000000		0.000000	12799.679664
130.610000	59.239430	6.113432	699.662925	699.662925	4.470708	7.410606	0.000000		0.000000	12799.679664
131.170000	59.202513	6.109622	699.490802	699.490802	4.484256	7.425447	0.000000		0.000000	12799.679664
131.730000	59.052009	6.094091	699.490802	699.490802	4.491029	7.435341	0.000000		0.000000	12799.679664
132.290000	58.998055	6.088523	699.662925	699.662925	4.511351	7.455129	0.000000		0.000000	12799.679664
132.860000	58.961138	6.084713	699.835049	699.835049	4.531672	7.465023	0.000000		0.000000	12800.174586
133.420000	58.901505	6.078559	699.490802	699.490802	4.541833	7.484811	0.000000		0.000000	12800.174586
133.980000	58.844710	6.072698	699.490802	699.490802	4.558767	7.504599	0.000000		0.000000	12800.174586
134.530000	58.813474	6.069474	699.490802	699.490802	4.575702	7.524387	0.000000		0.000000	12799.679664
135.090000	58.768038	6.064785	699.490802	699.490802	4.592636	7.539228	0.000000		0.000000	12800.174586
135.640000	58.682847	6.055994	699.490802	699.490802	4.612958	7.554069	0.000000		0.000000	12799.679664
136.190000	58.634572	6.051012	699.490802	699.490802	4.626505	7.568910	0.000000		0.000000	12799.679664
136.750000	58.614694	6.048960	699.490802	699.490802	4.646827	7.583751	0.000000		0.000000	12799.679664
